conditions,details,enrollment,id,last_monitored_change,last_updated,monitor_status,name,phases,primary_outcome,sponsor,status,study_end,study_start,target
Metastatic Solid Tumors,"The main purpose of this study is to determine the safety, tolerability, pharmacokinetics (PK), immunogenicity and (if observed) the maximum tolerated dose (MTD) of M6223 as a single agent (Part 1A) for both the every 2 weeks (Q2W) regimen and the every 3 weeks (Q3W) regimen and of M6223 combined with bintrafusp alfa (Part 1B) for Q2W regimen in participants with metastatic or locally advanced solid unresectable tumors.",58,NCT04457778,2026-02-05,2023-12-07,No Change,First in Human Study of M6223,PHASE1,Part 1A and 1B: Occurrence of Dose Limiting Toxicities (DLTs) During the DLT Observation Period (28 Days),"EMD Serono Research & Development Institute, Inc.",COMPLETED,2023-06-23,2020-07-10,TIGIT
Melanoma,"Immunotherapy has helped many cancer patients in the last 5 years by enhancing a patient's immune system to fight cancer. Anti-Programmed Death (PD-1) immunotherapy drugs such as pembrolizumab and nivolumab remove the breaks from cancer-fighting immune cells and have been effective in treating some melanoma patients. Despite the major breakthrough of immunotherapy in oncology treatment, many patients do not respond to this new class of anti-cancer drugs. Recently, evidence suggests that the microorganisms living in a patient's intestines play a major role in modifying the response to anti-PD-1drugs. Patients who respond to these drugs have a unique and healthy group of microorganisms in their gut. Therefore, positive modification of a cancer patient's gut microorganisms to create a more diverse and healthy microbiome may improve the response to immunotherapy. One method of modifying the microbiome is Fecal Microbial Transplantation (FMT) that is already being successfully used in the clinic to treat non-cancer patients with persistent bacterial infections.

In this study, the investigators will combine FMT with the approved immunotherapy drugs pembrolizumab or nivolumab that are the standard of care for the treatment of advanced melanoma. The purpose of this study is to examine the safety of combining these two therapies in melanoma patients. The investigator will use fecal material from a healthy donor selected via our stringent protocol that is Health Canada approved. In addition to assessing the safety of the combination, the investigator will also study the effect of FMT on the immune system and microbial ecosystem of the gut.",20,NCT03772899,2026-02-05,2025-03-26,No Change,Fecal Microbial Transplantation in Combination With Immunotherapy in Melanoma Patients (MIMic),PHASE1,To evaluate the safety of combining Fecal Microbial Transplantation (FMT) using intestinal bacteria existing in the stool of healthy donors with immunotherapy in melanoma patients.,London Health Sciences Centre Research Institute OR Lawson Research Institute of St. Joseph's,ACTIVE_NOT_RECRUITING,2026-08,2019-03-27,TIGIT
Urothelial Cancer,"This study will evaluate the safety of tobemstomig alone or in combination with tiragolumab compared with atezolizumab in participants with previously untreated, locally advanced or metastatic urothelial cancer (mUC) who are ineligible to receive a platinum containing chemotherapy.",204,NCT05645692,2026-02-05,2026-01-28,No Change,"A Study Evaluating Different Immunotherapies (LAG-3 and PD-1 With or Without TIGIT, Compared to PD-L1 Alone) in Participants With Untreated Locally Advanced Metastatic Urothelial Cancer",PHASE2,Incidence and Severity of Adverse Events,Hoffmann-La Roche,ACTIVE_NOT_RECRUITING,2026-12-31,2023-04-13,TIGIT
Cervical Cancer,"This study tested how well and how safely the drug tislelizumab, given either alone or with another drug called ociperlimab (BGB-A1217), worked in people with cervical cancer that had come back or spread after previous treatments. The study included two groups and took place at multiple medical centers.",178,NCT04693234,2026-02-05,2025-04-09,No Change,AdvanTIG-202: Anti-PD-1 Monoclonal Antibody Tislelizumab (BGB-A317) Combined With or Without Anti-TIGIT Monoclonal Antibody Ociperlimab (BGB-A1217) in Participants With Previously Treated Recurrent or Metastatic Cervical Cancer,PHASE2,Cohort 1: Objective Response Rate (ORR) Assessed by an Independent Review Committee (IRC) in PD-L1-Positive Participants,BeiGene,COMPLETED,2023-08-31,2021-02-15,TIGIT
"Gastric Cancer, MSI-H, Metastatic Cancer, Advanced Cancer","CIME is a multicenter, randomised, comparative, open-label phase III study aiming to compare the survival of patients suffering from MSI-H/dMMR locally advanced or metastatic oeasogastric adenocarcinoma treated by a bi-immunotherapy (experimental arm) versus standard current treatment (FOLFOX/XELOX + nivolumab : standard arm).",132,NCT06346197,2026-02-05,2025-12-19,No Change,Combination of Immune Checkpoint in Locally Advanced or Metastatic MSI/dMMR Esogastric Adenocarcinomas,PHASE3,Survival of patients,Centre Leon Berard,RECRUITING,2028-05-15,2025-12-08,TIGIT
HIV Infection Primary,"This is a Phase II, single-center, randomized, double-blind, placebo-controlled clinical trial in People with Human Immunodeficiency Virus (PWH) on suppressive Combined Antiretroviral Therapy (cART).

The aim is to assess safety, tolerability and Impact of low dose Dasatinib, during 24 weeks, on Viral Persistence and Inflammation in this population.

Participants will be randomized (2:1) to receive oral Dasatinib 70 mg once daily or matched placebo for 24 weeks. At week 24, Dasatinib will be discontinued and participants will be followed until week 48, in a total of eleven visits. For all participants cART will remain unchanged during the entire study.

The hypotheses of the study is that:

* Daily administration of a low dose of dasatinib (70 mg once daily) to PWH for 24 weeks will be safe and well tolerated.
* Dasatinib will interfere with HIV-1 persistence mechanisms contributing to chronic immune activation and inflammation status in both concordant and immune-discordant virologically suppressed PWH.
* Dasatinib antiproliferative effect could have a significant impact on the HIV-1 reservoir size.

The primary objective of the study is to evaluate the safety and tolerability of Dasatinib in this setting. Furthermore to evaluate the on-target/biological effect on the reduction of SAM Sterile Alpha-Motif (SAM) and histidine-aspartate (HD) Domain Containing Deoxynucleoside Triphosphate Triphosphohydrolase 1 (SAMHD1) phosphorylation upon in-vitro T-cell activation, and its durability after completion of Dasatinib treatment.

Secondary objectives are to evaluate the effect of the described intervention in the on-target/biological effects attributed to dasatinib, as well as on the Inflammation and immune activation, the HIV-1 reservoir, and CD4 and CD8 cell counts. Also to characterize dasatinib concentrations in plasma and its relationships with the observed effects, and to identify predictors of maintenance of dasatinib effects in HIV reservoir and inflammatory biomarkers after dasatinib interruption.",60,NCT05780073,2026-02-05,2025-09-16,No Change,Safety and Impact of Dasatinib on Viral Persistence and Inflammation in People With HIV Under Antiretroviral Treatment,PHASE2,Grade 3 or 4 treatment-related adverse events or laboratory abnormalities during the study (based on the Common Terminology Criteria for Adverse Events (CTCAE) v5.0 grading scale).,Fundació Institut Germans Trias i Pujol,COMPLETED,2025-04-01,2023-10-16,TIGIT
Esophageal Squamous Cell Carcinoma,"A study of tislelizumab (BGB-A317) plus ociperlimab versus tislelizumab plus placebo as second-line treatment in participants with programmed cell death protein-ligand 1 (PD-L1) tumor area positivity (TAP) ≥ 10% unresectable, locally advanced, recurrent or metastatic esophageal squamous cell carcinoma.",125,NCT04732494,2026-02-05,2024-12-23,No Change,Anti-PD-1 Monoclonal Antibody Tislelizumab (BGB-A317) Combined With or Without Anti-TIGIT Monoclonal Antibody Ociperlimab (BGB-A1217) in Participants With Recurrent or Metastatic Esophageal Squamous Cell Carcinoma,PHASE2,Objective Response Rate (ORR) Assessed by the Investigator,BeiGene,COMPLETED,2023-12-26,2021-03-31,TIGIT
"Advanced Solid Tumor, Clear Cell Renal Cell Carcinoma, Hepatocellular Carcinoma, Non-small Cell Lung Cancer","This is a Phase 1/1b, open-label, first-in-human (FIH), dose-escalation and expansion study of CHS-388, a monoclonal antibody targeting IL-27, as a monotherapy and in combination in patients with solid tumors that will be conducted in 4 parts:

* Part A: CHS-388 monotherapy dose-escalation portion of the study will evaluate the safety, tolerability, PK, pharmacodynamics, and preliminary efficacy of CHS-388 as monotherapy in patients with advanced solid tumors.
* Part B: CHS-388 monotherapy expansion cohorts will evaluate the safety, efficacy, tolerability, PK, and pharmacodynamics of CHS-388 monotherapy in patients with advanced or metastatic ccRCC, advanced or metastatic HCC, and advanced or metastatic NSCLC in indication specific cohorts.
* Part C will evaluate the safety, preliminary efficacy, tolerability, and PK of CHS-388 in combination with pembrolizumab in patients with advanced RCC,HCC, or NSCLC.
* Part D will evaluate the safety, preliminary efficacy, tolerability, and PK of CHS-388 in combination with toripalimab in patients with advanced NSCLC.",145,NCT04374877,2026-02-05,2025-11-06,No Change,Study of CHS-388 (Formerly Known as SRF388) in Patients With Advanced Solid Tumors,PHASE1,[Part A] Dose Limiting Toxicity (DLT),"Coherus Oncology, Inc.",COMPLETED,2025-06-05,2020-04-22,TIGIT
"Advanced Cancer, Ovarian Cancer, Breast Cancer, Lung Cancer, Endometrial Cancer, Ovarian Neoplasm, Triple Negative Breast Cancer, Lung Neoplasm, Neoplasm Malignant, Colo-rectal Cancer","This Phase 1 study evaluates the safety, tolerability, Pharmacokinetics (PK) and preliminary clinical activity of COM701 an inhibitor of poliovirus receptor related immunoglobulin domain containing (PVRIG) as monotherapy and in combination with nivolumab in subjects with advanced solid tumors. Cohort expansion will be explored evaluating COM701 monotherapy and in combination with nivolumab in subjects with the following select tumor types (Non-Small cell lung cancer (NSCLC), Ovarian, Breast (including Triple negative breast cancer (TNBC) and endometrial cancer. Other tumor types such as CRC-MSS, CRC-KRAS mutant will be enrolled based on emerging clinical activity data.",121,NCT03667716,2026-02-05,2025-01-15,No Change,COM701 (an Inhibitor of PVRIG) in Subjects With Advanced Solid Tumors.,PHASE1,Incidence of subjects with Adverse Events (AEs) as per CTCAE v4.03 and Dose-Limiting Toxicities (DLTs).,Compugen Ltd,COMPLETED,2024-01-30,2018-09-06,TIGIT
"Non-small Cell Lung Cancer, NSCLC","The purpose of this study is to evaluate the efficacy and safety of ociperlimab + tislelizumab compared with that of pembrolizumab in adults with PD-L1 high, locally advanced/recurrent or untreated metastatic NSCLC.",662,NCT04746924,2026-02-05,2025-06-23,No Change,A Study of Ociperlimab With Tislelizumab Compared to Pembrolizumab in Participants With Untreated Lung Cancer,PHASE3,Overall Survival (OS),BeiGene,ACTIVE_NOT_RECRUITING,2026-03-31,2021-06-08,TIGIT
"Microsatellite Stable (MSS) Colorectal Cancer (CRC), Metastatic Colorectal Cancer (CRC), Colorectal Cancer Stage IV","This is a phase II study investigating the efficacy and safety of a triple-combination immunotherapy regimen in patients diagnosed with microsatellite stable metastatic colorectal cancer (MSS mCRC), refractory to fluorouracil, oxaliplatin, and irinotecan chemotherapy. The trial is designed as a single-arm, Simon two-stage study.

All participants will receive a fixed-dose regimen of the three agents: atezolizumab (1200 mg), bevacizumab (15 mg/kg), and tiragolumab (600 mg), administered intravenously on day 1 of 21-day cycles. Treatment response will be assessed by imaging using RECIST v1.1 every 9 weeks. Study treatment will be continued until disease progression, unacceptable toxicity, death, decision by the patient and/or treating physician to withdraw from the study, pregnancy, or study termination, whichever occurs first.

This study will enroll patients in 2 cohorts: A and B. Patients in Cohort A will undergo pre-treatment and on-treatment tumor biopsies for correlative studies. Patient in Cohort B will not receive study biopsies. Patients in Cohorts A and B will otherwise receive identical treatment.",13,NCT06784947,2026-02-05,2025-10-01,No Change,"Trial of Atezolizumab, Bevacizumab, and Tiragolumab in Patients With Microsatellite Stable, Metastatic Colorectal Cancer",PHASE2,Objective Response Rate (ORR),"University of Colorado, Denver",ACTIVE_NOT_RECRUITING,2028-05,2025-03-25,TIGIT
Non-Small Cell Lung Cancer,"The master protocol will include 3 sub-studies, each focused on a specific disease population.

* Sub-study 1 will investigate rilvegostomig± ramucirumab in 1L non-actionable genomic alterations (AGA) NSCLC with PD-L1 ≥50%.
* Sub-study 2 will investigate rilvegostomig + ramucirumab in 1L non-actionable genomic alterations (AGA) NSCLC with PD-L1 1-49%.
* Sub-study 3 will investigate Dato-DXd + ramucirumab ± rilvegostomig in 2/3L AGA+

Each sub-study may include 2 parts (unless stated in the individual sub study protocols): Part A: one or more Safety Run-in cohort(s), and Part B: one or more Dose Expansion cohort(s).",278,NCT07098338,2026-02-10,2026-02-03,Changed,A Study of Novel Combinations in Non-Small Cell Lung Cancer (NSCLC),PHASE2,Number of participants with adverse events (AE) and serious adverse events (SAE),AstraZeneca,RECRUITING,2029-04-06,2025-08-07,TIGIT
"Rare Malignant Neoplasm, Advanced Solid Tumors, Metastatic Solid Tumors","This is an open-label, non-randomized, multi-arm, single-center Phase I/II platform study (PLATFORM2). Based on the definition of rare tumors in China (incidence \< 2.5/100,000 or specific list), eligible patients will undergo multi-omics screening. Based on the molecular profiling results (gene variations or protein expression), patients will be assigned to corresponding treatment arms (Sub-studies). Therapies include small molecules, protein drugs, Cell and Gene Therapy (CGT) products, and therapeutic vaccines. The study employs a Clopper-Pearson Two-Stage Minimax design for each arm.",600,NCT07307053,2026-02-05,2025-12-13,No Change,Rare Tumor Focused Platform Study of Innovative Therapies and Technologies (PLATFORM2),"PHASE1, PHASE2",Objective Response Rate (ORR),"Cancer Institute and Hospital, Chinese Academy of Medical Sciences",NOT_YET_RECRUITING,2031-01-31,2026-01-01,TIGIT
Graft-versus-host Disease (GVHD),"Allogeneic hematopoietic stem cell transplantation (allo-HSCT) is the most effective treatment for acute leukaemia. The reconstitution of the recipient's immune system with donor-derived HSCT cells and the development of immune tolerance are critical to the success of HSCT. Patients who fail to establish immune tolerance after transplantation develop graft-versus-host disease (GVHD), which is a serious threat to patients' lives and quality of life.

Utilising single-cell multi-omics sequencing technology, the study's principal investigator elucidated the distribution of immune cell subpopulations in patients who successfully established immune tolerance post-transplantation. This research also identified a novel group of CD8 regulatory precursors (CD8 Trps), confirming their critical regulatory role in inducing immune tolerance in post-transplantation patients. This finding suggests that this subpopulation may serve as a novel target for predicting and intervening in GVHD. The successful implementation of this project will establish a new method for early prediction of GVHD and provide a new strategy for clinical intervention of GVHD.

The goal of this observational study is to explore the sensitivity and validity of the CD8 Trps as a novel biomarker molecule for predicting the development of GVHD through a prospective clinical cohort. The main question it aims to answer is:

Can the CD8 Trps serve as an effective molecular marker for the prediction of GVHD occurrence? Can the CD8 Trps cell serve as a novel strategy for GVHD intervention?",100,NCT06864598,2026-02-05,2025-03-04,No Change,The Application of Novel Identified CD8 Regulatory Precursors in Inducing Immune Tolerance After Allo-HSCT,N/A,Proportion of CD8 Trp subgroups,Peking University People's Hospital,ENROLLING_BY_INVITATION,2026-10-31,2025-01-09,TIGIT
"Endometrial Neoplasms, Neoplasm Recurrence, Local, Neoplasm Metastasis","The goal of this clinical trial is to evaluate the efficacy and safety of cadonilimab in combination with paclitaxel, cisplatin, and radiation therapy for the treatment of locally recurrent and oligometastatic endometrial carcinoma. The main questions it aims to answer are:

1. Does the combination therapy improve the overall response rate (ORR), progression-free survival (PFS), disease control rate (DCR), overall survival (OS), and safety in participants?
2. What are the predictive biomarkers of treatment efficacy, and how can this information better guide the use of immune-oncology drugs in combination therapy?

Participants will:

* Receive cadonilimab, paclitaxel, cisplatin, and radiation therapy according to a specified protocol.
* Visit the clinic for regular checkups and tests throughout the treatment period.
* Be monitored for and have records kept of ORR, PFS, DCR, OS, and safety.
* Provide hematologic and tissue samples to explore biomarkers.

This study will help determine if this combination therapy can become a new standard of care for patients with locally recurrent and oligometastatic endometrial carcinoma, as well as identify biomarkers to better guide treatment strategies.",30,NCT06532539,2026-02-05,2024-07-29,No Change,Cadonilimab With Chemoradiation for Recurrent and Oligometastatic Endometrial Carcinoma,PHASE2,Progression-Free Survival,Shandong Cancer Hospital and Institute,RECRUITING,2026-05,2024-06-13,TIGIT
"Locally Advanced, Unresectable, or Metastatic Nonsmall Cell Lung Cancer (NSCLC), Nonsmall Cell Lung Cancer, Stage IIIB, Nonsmall Cell Lung Cancer, Stage IV","This study aimed to evaluate the safety and effectiveness of ociperlimab combined with tislelizumab and chemotherapy, compared to tislelizumab and chemotherapy alone, in participants with non-small cell lung cancer (NSCLC) that was locally advanced, could not be removed by surgery, or had spread to other parts of the body.",272,NCT05014815,2026-02-05,2025-08-28,No Change,Ociperlimab With Tislelizumab and Chemotherapy in Participants With Untreated Metastatic Non-Small Cell Lung Cancer,PHASE2,Progression-free Survival (PFS),BeiGene,COMPLETED,2024-09-04,2021-11-16,TIGIT
Colon Cancer,"This research study is evaluating the effect of AMR101, as a chemopreventive agent to reduce risk of colorectal cancer in individuals with a history of colorectal cancer, colorectal mass or polyp(s).

AMR101 is made of marine omega-3 fatty acid, which is a family of natural substances found in the oil of certain fish, such as salmon and mackerel. Marine omega-3 fatty acid cannot be produced in sufficient amount by the human body and has to be obtained through diet or supplemented to maintain normal function in the body.

The U.S. Food and Drug Administration (FDA) has not approved AMR101 as a treatment for any disease. AMR101 is commercially available in the US as VASCEPA (icosapent ethyl).

The research study procedures include screening for eligibility and study treatment including evaluations and follow up visits during which participants will complete a lifestyle questionnaire and a nutritional survey. A drug diary will be provided to be completed. Measurements will be taken, and blood and stool specimens will be collected. Tumor, colorectal mass, or polyp tissue will be collected for research purposes at the time of surgery or interventional endoscopy.

AMR101 administered daily, orally for up to 30 days and it is expected that 36 participants will take part in this study.",0,NCT03661047,2026-02-05,2021-11-10,No Change,OMega-3 Fatty Acid for the Immune Modulation of Colorectal Cancer,PHASE2,The change in the marine omega-3 polyunsaturated fatty acid (MO3PUFA) composition in colorectal tissues as a result of the AMR101 treatment for up to 30 days.,Massachusetts General Hospital,WITHDRAWN,2021-11-30,2019-11-30,TIGIT
"Carcinoma, Renal Cell","Participants with newly diagnosed, non-metastatic, histologically confirmed, clear cell renal cell carcinoma (ccRCC) who have elected to undergo surgical resection, will receive neoadjuvant autologous Tumor Blood Vessel Antigen (TBVA)-Dendritic Cell Vaccine intradermally every 2 weeks x 2 (days 7(+/-3) and 21(+/-3)) prior to surgery on day 31(+7) with oral cabozantinib 20 mg daily for 10 days. We hypothesize that treated renal tumors will demonstrate maturation and organization of the tumor endothelium with normalization of endothelial markers and formation of tertiary lymphoid structure capable of promoting specific T-cell induction.",42,NCT05127824,2026-02-05,2025-04-30,No Change,Autologous Dendritic Cell Vaccine in Kidney Cancer,PHASE2,Probability of immune response,Jodi Maranchie,RECRUITING,2026-12,2023-07-06,TIGIT
Non Small Cell Lung Cancer,"The study initiated with Protocol Amendment 1.0 (PA 1; dated on 16 April 2021). In April 2022 Protocol Amendment 2 (PA 2) was implemented. In PA 1, participants with newly diagnosed, histologically confirmed, unresectable locally advanced NSCLC and evaluable PD-L1 expression all comers were enrolled; cCRT was given within the study. In PA 2, the enrollment of the target population was revised into participants with unresectable locally advanced NSCLC whose disease has not progressed after definitive, platinum-based cCRT and with PD-L1 expression on ≥ 1% of tumor cells as assessed by the central lab; cCRT was given outside of the study.

After implementation of PA 2, participants who were randomized under PA 1 were given the option to continue assigned study treatment or to discontinue assigned treatment and begin standard of care treatment outside of the study. Participants enrolled under PA 1 were excluded from the primary and secondary analysis specified by PA 2.

This study was subsequently terminated by the Sponsor prior to enrollment of any participants under PA 2.",63,NCT04866017,2026-02-05,2024-10-09,No Change,A Study to Compare Ociperlimab Plus Tislelizumab Versus Durvalumab Following Concurrent Chemoradiotherapy (cCRT) in Participants With Stage III Unresectable Non-Small Cell Lung Cancer,PHASE3,Progression-Free Survival (PFS) as Assessed by the Independent Review Committee (IRC),BeiGene,TERMINATED,2023-10-17,2021-06-17,TIGIT
Melanoma,"Substudy 02C is part of a larger research study that is testing experimental treatments for melanoma, a type of skin cancer. The larger study is the umbrella study.

The goal of substudy 02C is to evaluate the safety and efficacy of investigational treatment arms in participants with Stage III melanoma who are candidates for neoadjuvant therapy to identify the investigational agent(s) that, when used in combination, are superior to the current treatment options/historical control available.

Arm 1: Pembrolizumab + Vibostolimab, Arm 2: Pembrolizumab + Gebasaxturev, and Arm 3: Pembrolizumab were added in the base protocol on 13-Nov-2019, and enrollment into those arms has been completed. Arm 4: Pembrolizumab + MK-4830 was added in Amendment 04 on 20-Dec-2021, and enrollment into that arm has been completed. Arm 5: Favezelimab + Pembrolizumab and Arm 6: Pembrolizumab + all-trans retinoic acid (ATRA) were added in Amendment 06 on 25-Jun-2022, and enrollment is ongoing.",146,NCT04303169,2026-02-05,2025-10-23,No Change,Substudy 02C: Safety and Efficacy of Pembrolizumab in Combination With Investigational Agents or Pembrolizumab Alone in Participants With Stage III Melanoma Who Are Candidates for Neoadjuvant Therapy (MK-3475-02C/KEYMAKER-U02),"PHASE1, PHASE2",Percentage of participants who experience an adverse event (AE),Merck Sharp & Dohme LLC,COMPLETED,2025-09-24,2020-06-26,TIGIT
Gastrointestinal Tract Malignancies,"The purpose of this study is to evaluate the safety and preliminary clinical activity of treatment combinations with and without chemotherapy in participants with locally advanced unresectable or metastatic gastric, GEJ, and esophageal adenocarcinoma. Chemotherapy will consist of FOLFOX (oxaliplatin, leucovorin, fluorouracil).",332,NCT05329766,2026-02-05,2026-01-27,No Change,A Safety and Efficacy Study of Treatment Combinations With and Without Chemotherapy in Adult Participants With Advanced Upper Gastrointestinal Tract Malignancies,PHASE2,Number of Participants with Adverse Events (AEs),"Arcus Biosciences, Inc.",ACTIVE_NOT_RECRUITING,2027-06,2022-06-10,TIGIT
Biliary Tract Cancer,The purpose of this study is to measure the efficacy and safety of rilvegostomig with gemcitabine plus cisplatin vs. durvalumab with gemcitabine plus cisplatin as first line treatment for patients with advanced BTC.,1100,NCT07221253,2026-02-12,2026-02-09,Changed,A Study of Rilvegostomig or Durvalumab Plus Chemotherapy for First-Line Treatment of Biliary Tract Cancer (ARTEMIDE-Biliary02),PHASE3,Overall Survival (OS) in the PDL1 ≥ 1% population,AstraZeneca,RECRUITING,2029-07-04,2025-12-04,TIGIT
Basal Cell Carcinoma of the Head and Neck,"This is a phase 1 study looking at anti-PD-1 Neoadjuvant therapy in Basal cell carcinoma in participants with locoregionally advanced, but resectable basal cell carcinoma of the head and neck. Participants will undergo fine cut CT imaging (head and neck) and treatment with the study drug pembrolizumab.

The primary objective of this study is to evaluate pathologic response to pre-operative treatment of pembrolizumab in the study group.

Secondary objectives of this study include assessing safety of the intervention, and assessing phenotyping immune infiltrates in non-pathology complete responders (pCRs), as well as assessment of changes to the systemic immune system (e.g. peripheral blood lymphocytes (PBLs)) in pCRs vs partial responders (pPR) vs non responders.

The exploratory objective will include assessing one-year recurrence rates after completion of NeoAdjuvant-Adjuvant therapy.",13,NCT04323202,2026-02-05,2025-10-23,No Change,Neoadjuvant-Adjuvant Pembrolizumab in Resectable Advanced Basal Cell Carcinoma of H&N,PHASE1,Pathologic response as assessed by change in tumor volume (RECIST 1.1),Case Comprehensive Cancer Center,COMPLETED,2025-06-25,2020-08-04,TIGIT
Melanoma,"Substudy 02A is part of a larger research study that is testing experimental treatments for melanoma, a type of skin cancer. The larger study is the umbrella study.

The goal of substudy 02A is to evaluate the safety and efficacy of investigational treatment arms in participants with PD-1 refractory melanoma to identify the investigational agent(s) that, when used in combination, are superior to the current treatment options/historical control available.

As of Amendment 4 (effective date: 05JAN2022), a third arm has been opened to participant enrollment, treatment with pembrolizumab and all-trans retinoic acid (ATRA). Enrollment into the first two arms, treatment with pembrolizumab + quavonlimab+ vibostolimab and treatment with pembrolizumab + quavonlimab + lenvatinib has been completed per protocol as of September 2021.",100,NCT04305041,2026-02-05,2025-08-28,No Change,Substudy 02A: Safety and Efficacy of Pembrolizumab in Combination With Investigational Agents in Participants With Programmed Cell-death 1 (PD-1) Refractory Melanoma (MK-3475-02A/KEYMAKER-U02),"PHASE1, PHASE2",Percentage of participants who experience an adverse event (AE),Merck Sharp & Dohme LLC,COMPLETED,2025-08-25,2020-06-26,TIGIT
Advanced Non-Small Cell Lung Cancer,"The study includes multiple substudy arms (Substudy A, B, C), which will evaluate immunotherapy-based combinations.",400,NCT05676931,2026-02-05,2025-09-29,No Change,Study With Various Immunotherapy Treatments in Participants With Lung Cancer,PHASE2,Objective response rate (ORR) as measured by Response Evaluation Criteria in Solid Tumors (RECIST v1.1),Gilead Sciences,ACTIVE_NOT_RECRUITING,2027-12,2023-02-21,TIGIT
"Peritoneal Mesothelioma, Gestational Trophoblastic Tumor, Thymoma and Thymic Carcinoma, Anaplastic Thyroid Carcinomas, Gastroenteropancreatic Neuroendocrine Tumor, Carcinoid Tumor","Immune checkpoint inhibitors (ICI) have revolutionized the management of advanced cancers. However, most rare cancers have been excluded from this progress due to the lack of clinical trials involving these diseases. After the standard first-line treatment, there are no other validated treatments for most of them. The management of these patients in ≥ 2nd line treatment relies on historic poorly effective regimens.

This creates an inequity between patients with frequent cancers beneficiating from medical progresses and approvals of innovative drugs, and patients with rare cancers are still treated with old and toxic drugs.

Few available data on case reports and early phase studies indicate a beneficial role of the immunotherapy in rare cancers.

The investigators assume that the combination of Domvanalimab and Zimberelimab is more effective than historical standard treatments in patients with 5 types of advanced rare cancers, after failure of at least one line of standard treatment in the advanced setting:

* Cohort 1: Peritoneal Mesotheliomas (PM)
* Cohort 2: Gestational Trophoblastic Tumors (GTT)
* Cohort 3: B3 Thymomas and Thymic Carcinomas (TET)
* Cohort 4: Refractory Thyroid Carcinomas (ATC)
* Cohort 5: GEP-NET and carcinoid tumors (GEP-NET (Gastroenteropancreatic neuroendocrine tumors)/TCT (Thoracic carcinoid tumor)/UP-NET (Neuroendocrine tumor of unknown primary))

The primary objective is to assess the efficacy of the combination of Domvanalimab and Zimberelimab in terms of progression-free survival rate at 24 weeks (for cohorts 1,3,5), successful hCG (Human Chorionic Gonadotropin) normalisation rate at 24 weeks for cohort 2 and survival rate for cohort 4.

The secondary objectives are to assess the efficacy of the combination of anti-TIGIT (T cell Immunoreceptor with Ig and ITIM domains) and anti-PD-1 (Programmed Death-1) immunotherapies in terms of overall response rate, progression-free survival (cohort 1-3 and 5), resistance-free survival (cohort 2), overall survival (cohorts 1-3 and 5), duration of the response (cohorts 1-3 and 5); and to assess the tolerability of the doublet of immunotherapy in terms of adverse events.

Patients will be treated until disease progression or alternatively 2 years in case of complete response (upon discussion with the coordinator of the study, the coordinator of the cohort and the investigator), unacceptable toxicity, or death. At the end of treatment, patients will be followed up for at least 1 year.

IMMUNORARE5 is composed of five independent open-label national multicenter single-arm phase II trials, sponsored by Lyon University Hospital, led in collaboration with the corresponding French national reference centers, with a centralized coordination by a dedicated team.

Each phase II trial is designed as a two-stage Simon design, with early termination for futility. For each cohort, a null hypothesis (H0) and an alternative hypotheses (H1) regarding the percentages of patients with success has been defined, with 5% one-sided alpha level and 80% power.

The trial will be conducted in 15 French Centers with an inclusion period of 36 months",154,NCT06790706,2026-02-05,2025-10-01,No Change,IMMUNORARE5: A National Platform of 5 Academic Phase II Trials Coordinated by Lyon University Hospital to Assess the Safety and the Efficacy of the IMMUNOtherapy With Domvanalimab + Zimberelimab Combination in Patients With Advanced RARE Cancers,PHASE2,"Progression-free survival rate (cohort 1, 3 and 5)",Hospices Civils de Lyon,RECRUITING,2031-06,2025-10-01,TIGIT
Advanced or Metastatic Non-small Cell Lung Cancer,"This is a multicentre, open-label study to evaluate the safety and efficacy of various combinations of study interventions in participants with advanced or metastatic NSCLC (mNSCLC).

The study will include a sub-study (sub-study 2) focused on a specific treatment that may include 2 parts -

1. Part A consisting of one of more safety run-in cohorts to evaluate 2 or more dose levels to identify the recommended Phase 2 dose (RP2D) unless RP2D has been established then Part A will not be required; and
2. Part B consisting of one or more expansion cohorts.

The originally planned Sub-study 1 was withdrawn (cancelled) and will not be conducted.

Sub-study 2 will evaluate the safety, tolerability, and anti-tumour activity of rilvegostomig plus standard of care (SoC) platinum-based chemotherapy, with or without ramucirumab.",152,NCT06996782,2026-02-05,2026-01-13,No Change,A Platform Study in Non-Small Cell Lung Cancer (NSCLC),"PHASE1, PHASE2",Part A and Part B: Number of participants with adverse events (AEs) and serious adverse events (SAEs),AstraZeneca,RECRUITING,2029-02-23,2025-11-24,TIGIT
